,lat_southernrockies,lon_southernrockies
2573,39.71875,-110.59375
2574,39.71875,-110.53125
2575,39.71875,-110.46875
2576,39.71875,-110.40625
2577,39.71875,-110.34375
2578,39.71875,-110.28125
2579,39.71875,-110.21875
2580,39.71875,-110.15625
2581,39.71875,-108.90625
2582,39.71875,-108.84375
2583,39.71875,-108.78125
2584,39.71875,-108.71875
2585,39.71875,-108.65625
2586,39.71875,-108.59375
2587,39.71875,-108.53125
2588,39.71875,-108.46875
2589,39.71875,-108.40625
2590,39.71875,-108.34375
2591,39.71875,-108.28125
2592,39.71875,-108.21875
2593,39.71875,-108.15625
2594,39.71875,-108.09375
2595,39.71875,-108.03125
2596,39.71875,-107.96875
2597,39.71875,-107.90625
2598,39.71875,-107.84375
2599,39.71875,-107.78125
2600,39.71875,-107.71875
2601,39.71875,-107.65625
2602,39.71875,-107.59375
2603,39.71875,-107.53125
2604,39.71875,-107.46875
2605,39.71875,-107.40625
2606,39.71875,-107.34375
2607,39.71875,-107.28125
2608,39.71875,-107.21875
2609,39.71875,-107.15625
2610,39.71875,-107.09375
2611,39.71875,-107.03125
2612,39.71875,-106.96875
2613,39.71875,-106.90625
2614,39.71875,-106.84375
2615,39.71875,-106.78125
2616,39.71875,-106.71875
2617,39.71875,-106.65625
2618,39.71875,-106.59375
2619,39.71875,-106.53125
2620,39.71875,-106.46875
