,lat_coastalsouth,lon_coastalsouth
2528,38.15625,-121.71875
2529,38.15625,-121.65625
2530,38.15625,-121.59375
2531,38.15625,-121.53125
2532,38.15625,-121.46875
2533,38.15625,-121.40625
2534,38.15625,-121.34375
2535,38.15625,-121.28125
2536,38.15625,-121.21875
2537,38.15625,-121.15625
2538,38.15625,-121.09375
2539,38.15625,-121.03125
2540,38.15625,-120.96875
2541,38.15625,-120.90625
2542,38.15625,-120.84375
2543,38.15625,-120.78125
2544,38.15625,-120.71875
2545,38.15625,-120.65625
2546,38.15625,-120.59375
2547,38.15625,-120.53125
2548,38.15625,-120.46875
2549,38.15625,-120.40625
2550,38.15625,-120.34375
2551,38.15625,-120.28125
2552,38.15625,-120.21875
2553,38.21875,-122.96875
2554,38.21875,-122.90625
2555,38.21875,-122.84375
2556,38.21875,-122.78125
2557,38.21875,-122.71875
2558,38.21875,-122.65625
2559,38.21875,-122.59375
2560,38.21875,-122.53125
2561,38.21875,-122.46875
2562,38.21875,-122.40625
2563,38.21875,-122.21875
2564,38.21875,-122.15625
2565,38.21875,-122.09375
2566,38.21875,-122.03125
2567,38.21875,-121.96875
2568,38.21875,-121.90625
2569,38.21875,-121.84375
2570,38.21875,-121.78125
2571,38.21875,-121.71875
2572,38.21875,-121.65625
2573,38.21875,-121.59375
2574,38.21875,-121.53125
2575,38.21875,-121.46875
2576,38.21875,-121.40625
2577,38.21875,-121.34375
2578,38.21875,-121.28125
2579,38.21875,-121.21875
2580,38.21875,-121.15625
2581,38.21875,-121.09375
2582,38.21875,-121.03125
2583,38.21875,-120.96875
2584,38.21875,-120.90625
2585,38.21875,-120.84375
2586,38.21875,-120.78125
2587,38.21875,-120.71875
2588,38.21875,-120.65625
2589,38.21875,-120.59375
2590,38.21875,-120.53125
2591,38.21875,-120.46875
2592,38.21875,-120.40625
2593,38.21875,-120.34375
2594,38.21875,-120.28125
2595,38.28125,-122.96875
2596,38.28125,-122.90625
2597,38.28125,-122.84375
2598,38.28125,-122.78125
2599,38.28125,-122.71875
2600,38.28125,-122.65625
2601,38.28125,-122.59375
2602,38.28125,-122.53125
2603,38.28125,-122.46875
2604,38.28125,-122.40625
2605,38.28125,-122.34375
2606,38.28125,-122.28125
2607,38.28125,-122.21875
2608,38.28125,-122.15625
2609,38.28125,-122.09375
2610,38.28125,-122.03125
2611,38.28125,-121.96875
2612,38.28125,-121.90625
2613,38.28125,-121.84375
2614,38.28125,-121.78125
2615,38.28125,-121.59375
2616,38.28125,-121.53125
2617,38.28125,-121.46875
2618,38.28125,-121.40625
2619,38.28125,-121.34375
2620,38.28125,-121.28125
2621,38.28125,-121.21875
2622,38.28125,-121.15625
2623,38.28125,-121.09375
2624,38.28125,-121.03125
2625,38.28125,-120.96875
2626,38.28125,-120.90625
2627,38.28125,-120.84375
2628,38.28125,-120.78125
2629,38.28125,-120.71875
2630,38.28125,-120.65625
2631,38.28125,-120.59375
2632,38.28125,-120.53125
2633,38.28125,-120.46875
2634,38.28125,-120.40625
2635,38.34375,-122.96875
2636,38.34375,-122.90625
2637,38.34375,-122.84375
2638,38.34375,-122.78125
